player,team,lg,season,replaced
Bam Adebayo,Giannis,NBA,2023,False
Giannis Antetokounmpo,Giannis,NBA,2023,False
DeMar DeRozan,Giannis,NBA,2023,False
Kevin Durant,Giannis,NBA,2023,False
Shai Gilgeous-Alexander,Giannis,NBA,2023,False
Jrue Holiday,Giannis,NBA,2023,False
Damian Lillard,Giannis,NBA,2023,False
Lauri Markkanen,Giannis,NBA,2023,False
Donovan Mitchell,Giannis,NBA,2023,False
Ja Morant,Giannis,NBA,2023,False
Domantas Sabonis,Giannis,NBA,2023,False
Pascal Siakam,Giannis,NBA,2023,False
Jayson Tatum,Giannis,NBA,2023,False
Jaylen Brown,LeBron,NBA,2023,False
Stephen Curry,LeBron,NBA,2023,False
Luka Dončić,LeBron,NBA,2023,False
Anthony Edwards,LeBron,NBA,2023,False
Joel Embiid,LeBron,NBA,2023,False
De'Aaron Fox,LeBron,NBA,2023,False
Paul George,LeBron,NBA,2023,False
Tyrese Haliburton,LeBron,NBA,2023,False
Kyrie Irving,LeBron,NBA,2023,False
Jaren Jackson Jr.,LeBron,NBA,2023,False
LeBron James,LeBron,NBA,2023,False
Nikola Jokić,LeBron,NBA,2023,False
Julius Randle,LeBron,NBA,2023,False
Zion Williamson,LeBron,NBA,2023,False
LaMelo Ball,Team Durant,NBA,2022,False
Devin Booker,Team Durant,NBA,2022,False
Kevin Durant,Team Durant,NBA,2022,False
Joel Embiid,Team Durant,NBA,2022,False
Rudy Gobert,Team Durant,NBA,2022,False
Draymond Green,Team Durant,NBA,2022,False
Zach LaVine,Team Durant,NBA,2022,False
Khris Middleton,Team Durant,NBA,2022,False
Ja Morant,Team Durant,NBA,2022,False
Dejounte Murray,Team Durant,NBA,2022,False
Jayson Tatum,Team Durant,NBA,2022,False
Karl-Anthony Towns,Team Durant,NBA,2022,False
Andrew Wiggins,Team Durant,NBA,2022,False
Trae Young,Team Durant,NBA,2022,False
Jarrett Allen,Team LeBron,NBA,2022,False
Giannis Antetokounmpo,Team LeBron,NBA,2022,False
Jimmy Butler,Team LeBron,NBA,2022,False
Stephen Curry,Team LeBron,NBA,2022,False
DeMar DeRozan,Team LeBron,NBA,2022,False
Luka Dončić,Team LeBron,NBA,2022,False
Darius Garland,Team LeBron,NBA,2022,False
James Harden,Team LeBron,NBA,2022,False
LeBron James,Team LeBron,NBA,2022,False
Nikola Jokić,Team LeBron,NBA,2022,False
Donovan Mitchell,Team LeBron,NBA,2022,False
Chris Paul,Team LeBron,NBA,2022,False
Fred VanVleet,Team LeBron,NBA,2022,False
Bradley Beal,Team Durant,NBA,2021,False
Devin Booker,Team Durant,NBA,2021,False
Mike Conley,Team Durant,NBA,2021,False
Anthony Davis,Team Durant,NBA,2021,False
Kevin Durant,Team Durant,NBA,2021,False
Joel Embiid,Team Durant,NBA,2021,False
James Harden,Team Durant,NBA,2021,False
Kyrie Irving,Team Durant,NBA,2021,False
Zach LaVine,Team Durant,NBA,2021,False
Kawhi Leonard,Team Durant,NBA,2021,False
Donovan Mitchell,Team Durant,NBA,2021,False
Julius Randle,Team Durant,NBA,2021,False
Jayson Tatum,Team Durant,NBA,2021,False
Nikola Vučević,Team Durant,NBA,2021,False
Zion Williamson,Team Durant,NBA,2021,False
Giannis Antetokounmpo,Team LeBron,NBA,2021,False
Jaylen Brown,Team LeBron,NBA,2021,False
Stephen Curry,Team LeBron,NBA,2021,False
Luka Dončić,Team LeBron,NBA,2021,False
Paul George,Team LeBron,NBA,2021,False
Rudy Gobert,Team LeBron,NBA,2021,False
LeBron James,Team LeBron,NBA,2021,False
Nikola Jokić,Team LeBron,NBA,2021,False
Damian Lillard,Team LeBron,NBA,2021,False
Chris Paul,Team LeBron,NBA,2021,False
Domantas Sabonis,Team LeBron,NBA,2021,False
Ben Simmons,Team LeBron,NBA,2021,False
Bam Adebayo,Team Giannis,NBA,2020,False
Giannis Antetokounmpo,Team Giannis,NBA,2020,False
Jimmy Butler,Team Giannis,NBA,2020,False
Joel Embiid,Team Giannis,NBA,2020,False
Rudy Gobert,Team Giannis,NBA,2020,False
Brandon Ingram,Team Giannis,NBA,2020,False
Kyle Lowry,Team Giannis,NBA,2020,False
Khris Middleton,Team Giannis,NBA,2020,False
Donovan Mitchell,Team Giannis,NBA,2020,False
Pascal Siakam,Team Giannis,NBA,2020,False
Kemba Walker,Team Giannis,NBA,2020,False
Trae Young,Team Giannis,NBA,2020,False
Devin Booker,Team LeBron,NBA,2020,False
Anthony Davis,Team LeBron,NBA,2020,False
Luka Dončić,Team LeBron,NBA,2020,False
James Harden,Team LeBron,NBA,2020,False
LeBron James,Team LeBron,NBA,2020,False
Nikola Jokić,Team LeBron,NBA,2020,False
Kawhi Leonard,Team LeBron,NBA,2020,False
Damian Lillard,Team LeBron,NBA,2020,False
Chris Paul,Team LeBron,NBA,2020,False
Domantas Sabonis,Team LeBron,NBA,2020,False
Ben Simmons,Team LeBron,NBA,2020,False
Jayson Tatum,Team LeBron,NBA,2020,False
Russell Westbrook,Team LeBron,NBA,2020,False
Giannis Antetokounmpo,Team Giannis,NBA,2019,False
Stephen Curry,Team Giannis,NBA,2019,False
Joel Embiid,Team Giannis,NBA,2019,False
Paul George,Team Giannis,NBA,2019,False
Blake Griffin,Team Giannis,NBA,2019,False
Nikola Jokić,Team Giannis,NBA,2019,False
Kyle Lowry,Team Giannis,NBA,2019,False
Khris Middleton,Team Giannis,NBA,2019,False
Dirk Nowitzki,Team Giannis,NBA,2019,False
Victor Oladipo,Team Giannis,NBA,2019,True
D'Angelo Russell,Team Giannis,NBA,2019,False
Nikola Vučević,Team Giannis,NBA,2019,False
Kemba Walker,Team Giannis,NBA,2019,False
Russell Westbrook,Team Giannis,NBA,2019,False
LaMarcus Aldridge,Team LeBron,NBA,2019,False
Bradley Beal,Team LeBron,NBA,2019,False
Anthony Davis,Team LeBron,NBA,2019,False
Kevin Durant,Team LeBron,NBA,2019,False
James Harden,Team LeBron,NBA,2019,False
Kyrie Irving,Team LeBron,NBA,2019,False
LeBron James,Team LeBron,NBA,2019,False
Kawhi Leonard,Team LeBron,NBA,2019,False
Damian Lillard,Team LeBron,NBA,2019,False
Ben Simmons,Team LeBron,NBA,2019,False
Klay Thompson,Team LeBron,NBA,2019,False
Karl-Anthony Towns,Team LeBron,NBA,2019,False
Dwyane Wade,Team LeBron,NBA,2019,False
LaMarcus Aldridge,Team LeBron,NBA,2018,False
Bradley Beal,Team LeBron,NBA,2018,False
DeMarcus Cousins,Team LeBron,NBA,2018,True
Anthony Davis,Team LeBron,NBA,2018,False
Goran Dragić,Team LeBron,NBA,2018,False
Andre Drummond,Team LeBron,NBA,2018,False
Kevin Durant,Team LeBron,NBA,2018,False
Paul George,Team LeBron,NBA,2018,False
Kyrie Irving,Team LeBron,NBA,2018,False
LeBron James,Team LeBron,NBA,2018,False
Kevin Love,Team LeBron,NBA,2018,True
Victor Oladipo,Team LeBron,NBA,2018,False
Kristaps Porziņģis,Team LeBron,NBA,2018,True
Kemba Walker,Team LeBron,NBA,2018,False
John Wall,Team LeBron,NBA,2018,True
Russell Westbrook,Team LeBron,NBA,2018,False
Giannis Antetokounmpo,Team Stephen,NBA,2018,False
Jimmy Butler,Team Stephen,NBA,2018,True
Stephen Curry,Team Stephen,NBA,2018,False
DeMar DeRozan,Team Stephen,NBA,2018,False
Joel Embiid,Team Stephen,NBA,2018,False
Draymond Green,Team Stephen,NBA,2018,False
James Harden,Team Stephen,NBA,2018,False
Al Horford,Team Stephen,NBA,2018,False
Damian Lillard,Team Stephen,NBA,2018,False
Kyle Lowry,Team Stephen,NBA,2018,False
Klay Thompson,Team Stephen,NBA,2018,False
Karl-Anthony Towns,Team Stephen,NBA,2018,False
Giannis Antetokounmpo,East,NBA,2017,False
Carmelo Anthony,East,NBA,2017,False
Jimmy Butler,East,NBA,2017,False
DeMar DeRozan,East,NBA,2017,False
Paul George,East,NBA,2017,False
Kyrie Irving,East,NBA,2017,False
LeBron James,East,NBA,2017,False
Kevin Love,East,NBA,2017,True
Kyle Lowry,East,NBA,2017,False
Paul Millsap,East,NBA,2017,False
Isaiah Thomas,East,NBA,2017,False
Kemba Walker,East,NBA,2017,False
John Wall,East,NBA,2017,False
DeMarcus Cousins,West,NBA,2017,False
Stephen Curry,West,NBA,2017,False
Anthony Davis,West,NBA,2017,False
Kevin Durant,West,NBA,2017,False
Marc Gasol,West,NBA,2017,False
Draymond Green,West,NBA,2017,False
James Harden,West,NBA,2017,False
Gordon Hayward,West,NBA,2017,False
DeAndre Jordan,West,NBA,2017,False
Kawhi Leonard,West,NBA,2017,False
Klay Thompson,West,NBA,2017,False
Russell Westbrook,West,NBA,2017,False
Carmelo Anthony,East,NBA,2016,False
Chris Bosh,East,NBA,2016,True
Jimmy Butler,East,NBA,2016,True
DeMar DeRozan,East,NBA,2016,False
Andre Drummond,East,NBA,2016,False
Pau Gasol,East,NBA,2016,False
Paul George,East,NBA,2016,False
Al Horford,East,NBA,2016,False
LeBron James,East,NBA,2016,False
Kyle Lowry,East,NBA,2016,False
Paul Millsap,East,NBA,2016,False
Isaiah Thomas,East,NBA,2016,False
Dwyane Wade,East,NBA,2016,False
John Wall,East,NBA,2016,False
LaMarcus Aldridge,West,NBA,2016,False
Kobe Bryant,West,NBA,2016,False
DeMarcus Cousins,West,NBA,2016,False
Stephen Curry,West,NBA,2016,False
Anthony Davis,West,NBA,2016,False
Kevin Durant,West,NBA,2016,False
Draymond Green,West,NBA,2016,False
James Harden,West,NBA,2016,False
Kawhi Leonard,West,NBA,2016,False
Chris Paul,West,NBA,2016,False
Klay Thompson,West,NBA,2016,False
Russell Westbrook,West,NBA,2016,False
Carmelo Anthony,East,NBA,2015,False
Chris Bosh,East,NBA,2015,False
Jimmy Butler,East,NBA,2015,False
Pau Gasol,East,NBA,2015,False
Al Horford,East,NBA,2015,False
Kyrie Irving,East,NBA,2015,False
LeBron James,East,NBA,2015,False
Kyle Korver,East,NBA,2015,False
Kyle Lowry,East,NBA,2015,False
Paul Millsap,East,NBA,2015,False
Jeff Teague,East,NBA,2015,False
Dwyane Wade,East,NBA,2015,False
John Wall,East,NBA,2015,False
LaMarcus Aldridge,West,NBA,2015,False
Kobe Bryant,West,NBA,2015,False
DeMarcus Cousins,West,NBA,2015,False
Stephen Curry,West,NBA,2015,False
Anthony Davis,West,NBA,2015,False
Tim Duncan,West,NBA,2015,False
Kevin Durant,West,NBA,2015,False
Marc Gasol,West,NBA,2015,False
Blake Griffin,West,NBA,2015,False
James Harden,West,NBA,2015,False
Damian Lillard,West,NBA,2015,False
Dirk Nowitzki,West,NBA,2015,False
Chris Paul,West,NBA,2015,False
Klay Thompson,West,NBA,2015,False
Russell Westbrook,West,NBA,2015,False
Carmelo Anthony,East,NBA,2014,False
Chris Bosh,East,NBA,2014,False
DeMar DeRozan,East,NBA,2014,False
Paul George,East,NBA,2014,False
Roy Hibbert,East,NBA,2014,False
Kyrie Irving,East,NBA,2014,False
LeBron James,East,NBA,2014,False
Joe Johnson,East,NBA,2014,False
Paul Millsap,East,NBA,2014,False
Joakim Noah,East,NBA,2014,False
Dwyane Wade,East,NBA,2014,False
John Wall,East,NBA,2014,False
LaMarcus Aldridge,West,NBA,2014,False
Kobe Bryant,West,NBA,2014,True
Stephen Curry,West,NBA,2014,False
Anthony Davis,West,NBA,2014,False
Kevin Durant,West,NBA,2014,False
Blake Griffin,West,NBA,2014,False
James Harden,West,NBA,2014,False
Dwight Howard,West,NBA,2014,False
Damian Lillard,West,NBA,2014,False
Kevin Love,West,NBA,2014,False
Dirk Nowitzki,West,NBA,2014,False
Tony Parker,West,NBA,2014,False
Chris Paul,West,NBA,2014,False
Carmelo Anthony,East,NBA,2013,False
Chris Bosh,East,NBA,2013,False
Tyson Chandler,East,NBA,2013,False
Luol Deng,East,NBA,2013,False
Kevin Garnett,East,NBA,2013,False
Paul George,East,NBA,2013,False
Jrue Holiday,East,NBA,2013,False
Kyrie Irving,East,NBA,2013,False
LeBron James,East,NBA,2013,False
Brook Lopez,East,NBA,2013,False
Joakim Noah,East,NBA,2013,False
Rajon Rondo,East,NBA,2013,True
Dwyane Wade,East,NBA,2013,False
LaMarcus Aldridge,West,NBA,2013,False
Kobe Bryant,West,NBA,2013,False
Tim Duncan,West,NBA,2013,False
Kevin Durant,West,NBA,2013,False
Blake Griffin,West,NBA,2013,False
James Harden,West,NBA,2013,False
Dwight Howard,West,NBA,2013,False
David Lee,West,NBA,2013,False
Tony Parker,West,NBA,2013,False
Chris Paul,West,NBA,2013,False
Zach Randolph,West,NBA,2013,False
Russell Westbrook,West,NBA,2013,False
Carmelo Anthony,East,NBA,2012,False
Chris Bosh,East,NBA,2012,False
Luol Deng,East,NBA,2012,False
Roy Hibbert,East,NBA,2012,False
Dwight Howard,East,NBA,2012,False
Andre Iguodala,East,NBA,2012,False
LeBron James,East,NBA,2012,False
Joe Johnson,East,NBA,2012,True
Paul Pierce,East,NBA,2012,False
Rajon Rondo,East,NBA,2012,False
Derrick Rose,East,NBA,2012,False
Dwyane Wade,East,NBA,2012,False
Deron Williams,East,NBA,2012,False
LaMarcus Aldridge,West,NBA,2012,False
Kobe Bryant,West,NBA,2012,False
Andrew Bynum,West,NBA,2012,False
Kevin Durant,West,NBA,2012,False
Marc Gasol,West,NBA,2012,False
Blake Griffin,West,NBA,2012,False
Kevin Love,West,NBA,2012,False
Steve Nash,West,NBA,2012,False
Dirk Nowitzki,West,NBA,2012,False
Tony Parker,West,NBA,2012,False
Chris Paul,West,NBA,2012,False
Russell Westbrook,West,NBA,2012,False
Ray Allen,East,NBA,2011,False
Chris Bosh,East,NBA,2011,False
Kevin Garnett,East,NBA,2011,False
Al Horford,East,NBA,2011,False
Dwight Howard,East,NBA,2011,False
LeBron James,East,NBA,2011,False
Joe Johnson,East,NBA,2011,False
Paul Pierce,East,NBA,2011,False
Rajon Rondo,East,NBA,2011,False
Derrick Rose,East,NBA,2011,False
Amar'e Stoudemire,East,NBA,2011,False
Dwyane Wade,East,NBA,2011,False
Carmelo Anthony,West,NBA,2011,False
Kobe Bryant,West,NBA,2011,False
Tim Duncan,West,NBA,2011,False
Kevin Durant,West,NBA,2011,False
Pau Gasol,West,NBA,2011,False
Manu Ginóbili,West,NBA,2011,False
Blake Griffin,West,NBA,2011,False
Kevin Love,West,NBA,2011,False
Yao Ming,West,NBA,2011,True
