season,lg,type,number_tm,position,player,age,tm,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm,seas_id,player_id
2022,NBA,All-NBA,1T,F,Giannis Antetokounmpo,27.0,MIL,500.0,500.0,1.0,100.0,0.0,0.0,29918,4164
2022,NBA,All-NBA,1T,C,Nikola Jokić,26.0,DEN,476.0,500.0,0.952,88.0,12.0,0.0,30247,4352
2022,NBA,All-NBA,1T,G,Luka Dončić,22.0,DAL,476.0,500.0,0.952,88.0,12.0,0.0,30158,4654
2022,NBA,All-NBA,1T,G,Devin Booker,25.0,PHO,460.0,500.0,0.92,82.0,16.0,2.0,29850,4321
2022,NBA,All-NBA,1T,F,Jayson Tatum,23.0,BOS,390.0,500.0,0.78,49.0,47.0,4.0,30010,4518
2022,NBA,All-NBA,2T,C,Joel Embiid,27.0,PHI,414.0,500.0,0.828,57.0,43.0,0.0,30033,4417
2022,NBA,All-NBA,2T,G,Ja Morant,22.0,MEM,301.0,500.0,0.602,13.0,76.0,8.0,29959,4723
2022,NBA,All-NBA,2T,F,Kevin Durant,33.0,BRK,276.0,500.0,0.552,10.0,68.0,22.0,30110,3770
2022,NBA,All-NBA,2T,G,Stephen Curry,33.0,GSW,274.0,500.0,0.548,9.0,69.0,22.0,30348,3903
2022,NBA,All-NBA,2T,F,DeMar DeRozan,32.0,CHI,184.0,500.0,0.368,2.0,39.0,57.0,29830,3872
2022,NBA,All-NBA,3T,C,Karl-Anthony Towns,26.0,MIN,174.0,500.0,0.348,0.0,38.0,60.0,30091,4339
2022,NBA,All-NBA,3T,F,LeBron James,37.0,LAL,169.0,500.0,0.338,2.0,35.0,54.0,30150,3463
2022,NBA,All-NBA,3T,G,Chris Paul,36.0,PHO,114.0,500.0,0.228,0.0,16.0,66.0,29760,3585
2022,NBA,All-NBA,3T,G,Trae Young,23.0,ATL,110.0,500.0,0.22,0.0,11.0,77.0,30386,4676
2022,NBA,All-NBA,3T,F,Pascal Siakam,27.0,TOR,63.0,500.0,0.126,0.0,7.0,42.0,30263,4437
2022,NBA,All-NBA,ORV,C,Rudy Gobert,29.0,UTA,45.0,500.0,0.09,0.0,5.0,30.0,30313,4199
2022,NBA,All-NBA,ORV,F,Jimmy Butler,32.0,MIA,32.0,500.0,0.064,0.0,2.0,26.0,30026,4023
2022,NBA,All-NBA,ORV,C,Bam Adebayo,24.0,MIA,28.0,500.0,0.056,0.0,4.0,16.0,29689,4472
