season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2024,NBA,Atlanta Hawks,ATL,False,4,960,41.3,86.1,0.48,15.4,38.7,0.399,25.9,47.5,0.546,15.7,21.8,0.719,11.3,31.1,42.3,26.9,7.1,4.2,17.6,19.8,113.8
2024,NBA,Boston Celtics,BOS,False,3,720,38.0,91.9,0.414,15.1,37.0,0.409,22.9,54.8,0.417,17.2,25.2,0.68,13.1,31.3,44.4,24.9,9.8,3.4,12.8,17.2,108.3
2024,NBA,Brooklyn Nets,BRK,False,3,720,44.5,92.6,0.48,13.2,36.3,0.364,31.3,56.4,0.556,16.5,19.1,0.862,8.2,30.3,38.6,25.7,7.6,4.3,9.6,20.1,118.7
2024,NBA,Chicago Bulls,CHI,False,4,985,40.9,84.2,0.485,12.9,36.9,0.349,28.0,47.3,0.592,16.8,21.8,0.773,9.7,38.9,48.6,27.3,5.5,3.7,18.1,22.3,111.5
2024,NBA,Charlotte Hornets,CHO,False,3,720,40.7,85.1,0.478,8.6,29.2,0.293,32.1,55.9,0.574,22.6,28.6,0.789,10.8,34.0,44.8,24.5,7.3,4.8,15.9,21.3,112.4
2024,NBA,Cleveland Cavaliers,CLE,False,4,960,42.3,89.4,0.473,12.6,31.5,0.4,29.7,57.9,0.513,17.4,21.9,0.793,10.6,38.0,48.6,26.7,6.5,5.3,14.6,17.6,114.6
2024,NBA,Dallas Mavericks,DAL,False,3,720,43.0,88.2,0.487,14.9,37.2,0.4,28.1,51.1,0.551,12.0,16.8,0.712,9.4,34.6,43.9,27.5,7.1,4.2,15.2,23.6,112.8
2024,NBA,Denver Nuggets,DEN,False,4,960,39.8,92.1,0.433,9.4,33.2,0.282,30.5,58.9,0.517,14.5,19.5,0.74,12.7,31.0,43.7,24.6,8.1,4.3,14.2,19.3,103.5
2024,NBA,Detroit Pistons,DET,False,4,960,38.5,89.7,0.43,9.8,27.0,0.364,28.7,62.7,0.458,20.9,26.2,0.798,11.3,30.2,41.6,19.9,10.8,6.3,12.1,20.2,107.8
2024,NBA,Golden State Warriors,GSW,False,4,960,38.8,93.2,0.417,10.5,36.3,0.29,28.3,56.9,0.498,16.8,22.8,0.736,12.8,32.8,45.6,23.1,7.5,4.3,12.8,19.0,105.0
2024,NBA,Houston Rockets,HOU,False,3,745,41.0,87.4,0.469,13.3,40.4,0.331,27.7,47.0,0.589,20.7,25.7,0.805,12.3,37.4,49.7,26.0,8.3,5.3,16.0,18.3,116.1
2024,NBA,Indiana Pacers,IND,False,3,720,41.0,91.0,0.45,8.7,23.2,0.375,32.3,67.8,0.476,20.7,27.1,0.762,12.6,32.6,45.2,24.5,5.2,6.8,11.0,14.2,111.4
