season,lg,team,abbreviation,playoffs,g,mp_per_game,opp_fg_per_game,opp_fga_per_game,opp_fg_percent,opp_x3p_per_game,opp_x3pa_per_game,opp_x3p_percent,opp_x2p_per_game,opp_x2pa_per_game,opp_x2p_percent,opp_ft_per_game,opp_fta_per_game,opp_ft_percent,opp_orb_per_game,opp_drb_per_game,opp_trb_per_game,opp_ast_per_game,opp_stl_per_game,opp_blk_per_game,opp_tov_per_game,opp_pf_per_game,opp_pts_per_game
2024,NBA,Atlanta Hawks,ATL,False,4.0,240.0,42.3,88.0,0.48,15.8,39.5,0.399,26.5,48.5,0.546,16.0,22.3,0.719,11.5,31.8,43.3,27.5,7.3,4.3,18.0,20.3,116.3
2024,NBA,Boston Celtics,BOS,False,3.0,240.0,37.7,91.0,0.414,15.0,36.7,0.409,22.7,54.3,0.417,17.0,25.0,0.68,13.0,31.0,44.0,24.7,9.7,3.3,12.7,17.0,107.3
2024,NBA,Brooklyn Nets,BRK,False,3.0,240.0,45.0,93.7,0.48,13.3,36.7,0.364,31.7,57.0,0.556,16.7,19.3,0.862,8.3,30.7,39.0,26.0,7.7,4.3,9.7,20.3,120.0
2024,NBA,Chicago Bulls,CHI,False,4.0,246.3,41.3,85.0,0.485,13.0,37.3,0.349,28.3,47.8,0.592,17.0,22.0,0.773,9.8,39.3,49.0,27.5,5.5,3.8,18.3,22.5,112.5
2024,NBA,Charlotte Hornets,CHO,False,3.0,240.0,42.7,89.3,0.478,9.0,30.7,0.293,33.7,58.7,0.574,23.7,30.0,0.789,11.3,35.7,47.0,25.7,7.7,5.0,16.7,22.3,118.0
2024,NBA,Cleveland Cavaliers,CLE,False,4.0,240.0,42.0,88.8,0.473,12.5,31.3,0.4,29.5,57.5,0.513,17.3,21.8,0.793,10.5,37.8,48.3,26.5,6.5,5.3,14.5,17.5,113.8
2024,NBA,Dallas Mavericks,DAL,False,3.0,240.0,44.3,91.0,0.487,15.3,38.3,0.4,29.0,52.7,0.551,12.3,17.3,0.712,9.7,35.7,45.3,28.3,7.3,4.3,15.7,24.3,116.3
2024,NBA,Denver Nuggets,DEN,False,4.0,240.0,39.3,90.8,0.433,9.3,32.8,0.282,30.0,58.0,0.517,14.3,19.3,0.74,12.5,30.5,43.0,24.3,8.0,4.3,14.0,19.0,102.0
2024,NBA,Detroit Pistons,DET,False,4.0,240.0,38.3,89.0,0.43,9.8,26.8,0.364,28.5,62.3,0.458,20.8,26.0,0.798,11.3,30.0,41.3,19.8,10.8,6.3,12.0,20.0,107.0
2024,NBA,Golden State Warriors,GSW,False,4.0,240.0,38.8,93.0,0.417,10.5,36.3,0.29,28.3,56.8,0.498,16.8,22.8,0.736,12.8,32.8,45.5,23.0,7.5,4.3,12.8,19.0,104.8
2024,NBA,Houston Rockets,HOU,False,3.0,248.3,41.0,87.3,0.469,13.3,40.3,0.331,27.7,47.0,0.589,20.7,25.7,0.805,12.3,37.3,49.7,26.0,8.3,5.3,16.0,18.3,116.0
2024,NBA,Indiana Pacers,IND,False,3.0,240.0,42.3,94.0,0.45,9.0,24.0,0.375,33.3,70.0,0.476,21.3,28.0,0.762,13.0,33.7,46.7,25.3,5.3,7.0,11.3,14.7,115.0
2024,NBA,Los Angeles Clippers,LAC,False,4.0,240.0,38.5,87.5,0.44,11.0,34.0,0.324,27.5,53.5,0.514,16.0,22.0,0.727,11.3,29.3,40.5,22.8,8.8,4.3,18.3,22.8,104.0
2024,NBA,Los Angeles Lakers,LAL,False,4.0,246.3,42.3,92.8,0.456,13.5,37.0,0.365,28.8,55.8,0.516,14.3,19.3,0.74,9.3,36.3,45.5,25.8,8.0,4.8,14.3,21.5,112.3
2024,NBA,Memphis Grizzlies,MEM,False,4.0,240.0,40.8,87.5,0.466,16.8,40.5,0.414,24.0,47.0,0.511,16.0,21.5,0.744,8.5,37.8,46.3,24.3,8.0,6.8,16.8,17.8,114.3
2024,NBA,Miami Heat,MIA,False,4.0,240.0,43.5,90.0,0.483,12.8,35.5,0.359,30.8,54.5,0.564,12.5,18.0,0.694,12.3,38.0,50.3,25.5,6.8,6.8,15.8,20.5,112.3
2024,NBA,Milwaukee Bucks,MIL,False,3.0,240.0,43.0,86.3,0.498,14.7,35.3,0.415,28.3,51.0,0.556,18.7,23.3,0.8,8.0,33.7,41.7,28.0,10.0,2.7,15.7,21.7,119.3
2024,NBA,Minnesota Timberwolves,MIN,False,3.0,240.0,39.7,87.7,0.452,13.3,34.3,0.388,26.3,53.3,0.494,12.0,16.0,0.75,7.0,34.7,41.7,26.3,7.0,6.3,13.3,14.0,104.7
