season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2024,NBA,Atlanta Hawks,ATL,False,4.0,960.0,169.0,352.0,0.48,63.0,158.0,0.399,106.0,194.0,0.546,64.0,89.0,0.719,46.0,127.0,173.0,110.0,29.0,17.0,72.0,81.0,465.0
2024,NBA,Boston Celtics,BOS,False,3.0,720.0,113.0,273.0,0.414,45.0,110.0,0.409,68.0,163.0,0.417,51.0,75.0,0.68,39.0,93.0,132.0,74.0,29.0,10.0,38.0,51.0,322.0
2024,NBA,Brooklyn Nets,BRK,False,3.0,720.0,135.0,281.0,0.48,40.0,110.0,0.364,95.0,171.0,0.556,50.0,58.0,0.862,25.0,92.0,117.0,78.0,23.0,13.0,29.0,61.0,360.0
2024,NBA,Chicago Bulls,CHI,False,4.0,985.0,165.0,340.0,0.485,52.0,149.0,0.349,113.0,191.0,0.592,68.0,88.0,0.773,39.0,157.0,196.0,110.0,22.0,15.0,73.0,90.0,450.0
2024,NBA,Charlotte Hornets,CHO,False,3.0,720.0,128.0,268.0,0.478,27.0,92.0,0.293,101.0,176.0,0.574,71.0,90.0,0.789,34.0,107.0,141.0,77.0,23.0,15.0,50.0,67.0,354.0
2024,NBA,Cleveland Cavaliers,CLE,False,4.0,960.0,168.0,355.0,0.473,50.0,125.0,0.4,118.0,230.0,0.513,69.0,87.0,0.793,42.0,151.0,193.0,106.0,26.0,21.0,58.0,70.0,455.0
2024,NBA,Dallas Mavericks,DAL,False,3.0,720.0,133.0,273.0,0.487,46.0,115.0,0.4,87.0,158.0,0.551,37.0,52.0,0.712,29.0,107.0,136.0,85.0,22.0,13.0,47.0,73.0,349.0
2024,NBA,Denver Nuggets,DEN,False,4.0,960.0,157.0,363.0,0.433,37.0,131.0,0.282,120.0,232.0,0.517,57.0,77.0,0.74,50.0,122.0,172.0,97.0,32.0,17.0,56.0,76.0,408.0
2024,NBA,Detroit Pistons,DET,False,4.0,960.0,153.0,356.0,0.43,39.0,107.0,0.364,114.0,249.0,0.458,83.0,104.0,0.798,45.0,120.0,165.0,79.0,43.0,25.0,48.0,80.0,428.0
2024,NBA,Golden State Warriors,GSW,False,4.0,960.0,155.0,372.0,0.417,42.0,145.0,0.29,113.0,227.0,0.498,67.0,91.0,0.736,51.0,131.0,182.0,92.0,30.0,17.0,51.0,76.0,419.0
2024,NBA,Houston Rockets,HOU,False,3.0,745.0,123.0,262.0,0.469,40.0,121.0,0.331,83.0,141.0,0.589,62.0,77.0,0.805,37.0,112.0,149.0,78.0,25.0,16.0,48.0,55.0,348.0
2024,NBA,Indiana Pacers,IND,False,3.0,720.0,127.0,282.0,0.45,27.0,72.0,0.375,100.0,210.0,0.476,64.0,84.0,0.762,39.0,101.0,140.0,76.0,16.0,21.0,34.0,44.0,345.0
2024,NBA,Los Angeles Clippers,LAC,False,4.0,960.0,154.0,350.0,0.44,44.0,136.0,0.324,110.0,214.0,0.514,64.0,88.0,0.727,45.0,117.0,162.0,91.0,35.0,17.0,73.0,91.0,416.0
2024,NBA,Los Angeles Lakers,LAL,False,4.0,985.0,169.0,371.0,0.456,54.0,148.0,0.365,115.0,223.0,0.516,57.0,77.0,0.74,37.0,145.0,182.0,103.0,32.0,19.0,57.0,86.0,449.0
