seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31136,2024,5025,A.J. Green,,SG,24.0,2,NBA,MIL,2,0.0,21.0,3.4,10.3,0.333,3.4,8.6,0.4,0.0,1.7,0.0,1.7,1.7,1.0,0.0,1.7,1.7,3.4,0.0,0.0,0.0,5.1,12.0
31137,2024,5027,AJ Griffin,,SF,20.0,2,NBA,ATL,4,0.0,34.0,6.4,10.6,0.6,5.3,8.5,0.625,1.1,2.1,0.5,0.0,0.0,,1.1,4.2,5.3,2.1,1.1,0.0,2.1,1.1,18.0
31138,2024,4219,Aaron Gordon,,PF,28.0,10,NBA,DEN,4,4.0,122.0,7.7,12.1,0.634,0.3,1.2,0.25,7.4,10.9,0.676,0.6,2.4,0.25,2.1,3.5,5.6,3.5,1.8,1.5,1.5,1.8,16.2
31139,2024,4582,Aaron Holiday,,PG,27.0,6,NBA,HOU,1,0.0,5.0,0.0,21.6,0.0,0.0,7.2,0.0,0.0,14.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31140,2024,4805,Aaron Nesmith,,SF,24.0,4,NBA,IND,3,0.0,80.0,5.9,11.3,0.52,3.2,7.2,0.438,2.7,4.1,0.667,2.3,2.7,0.833,2.3,5.9,8.1,1.8,0.0,1.4,0.5,4.5,17.1
31141,2024,4900,Aaron Wiggins,,SG,25.0,3,NBA,OKC,3,0.0,32.0,3.4,6.8,0.5,0.0,2.3,0.0,3.4,4.5,0.75,1.1,2.3,0.5,1.1,2.3,3.4,1.1,0.0,1.1,2.3,2.3,7.9
31142,2024,3734,Al Horford,,C,37.0,17,NBA,BOS,3,0.0,66.0,3.8,10.4,0.368,1.1,4.4,0.25,2.7,6.0,0.455,0.0,0.0,,5.5,6.5,12.0,2.7,1.1,0.5,3.3,2.2,8.7
31143,2024,3982,Alec Burks,,SG,32.0,13,NBA,DET,4,0.0,102.0,6.0,13.8,0.436,4.9,9.2,0.538,1.1,4.6,0.231,4.2,5.3,0.8,0.4,4.2,4.6,3.2,0.4,1.1,0.0,2.1,21.2
31144,2024,4806,Aleksej Pokusevski,,PF,22.0,4,NBA,OKC,3,0.0,18.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,2.0,4.0,0.5,0.0,6.0,6.0,0.0,0.0,2.0,6.0,6.0,2.0
31145,2024,4465,Alex Caruso,,PG,29.0,7,NBA,CHI,4,0.0,98.0,4.0,7.7,0.524,1.5,4.0,0.364,2.6,3.7,0.7,1.1,2.2,0.5,3.3,5.5,8.8,4.4,2.9,1.1,1.5,3.7,10.7
31146,2024,4142,Alex Len,,C,30.0,11,NBA,SAC,1,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31147,2024,4904,Alperen Şengün,,C,21.0,3,NBA,HOU,3,3.0,102.0,8.5,15.5,0.545,0.7,2.1,0.333,7.8,13.4,0.579,2.8,4.9,0.571,4.2,5.3,9.5,7.1,0.7,0.4,2.5,4.6,20.5
31148,2024,5109,Amen Thompson,,SF,21.0,1,NBA,HOU,3,0.0,54.0,5.3,12.7,0.421,1.3,6.7,0.2,4.0,6.0,0.667,2.0,4.0,0.5,0.7,6.0,6.7,3.3,0.7,0.7,3.3,4.0,14.0
31149,2024,4690,Amir Coffey,,SF,26.0,5,NBA,LAC,3,0.0,20.0,0.0,3.6,0.0,0.0,0.0,,0.0,3.6,0.0,3.6,3.6,1.0,0.0,1.8,1.8,3.6,0.0,0.0,3.6,1.8,3.6
31150,2024,4064,Andre Drummond,,C,30.0,12,NBA,CHI,4,0.0,56.0,5.8,12.9,0.45,0.0,0.0,,5.8,12.9,0.45,1.9,2.6,0.75,6.4,3.2,9.6,3.2,3.2,0.6,2.6,1.9,13.5
31151,2024,5110,Andre Jackson Jr.,,SG,22.0,1,NBA,MIL,1,0.0,7.0,0.0,5.1,0.0,0.0,5.1,0.0,0.0,0.0,,0.0,0.0,,5.1,15.4,20.6,5.1,5.1,0.0,5.1,10.3,0.0
31152,2024,5029,Andrew Nembhard,,SG,24.0,2,NBA,IND,3,0.0,68.0,5.8,11.1,0.524,0.0,3.7,0.0,5.8,7.4,0.786,0.0,0.0,,0.5,3.2,3.7,8.5,2.1,0.0,3.7,6.4,11.6
31153,2024,4223,Andrew Wiggins,,SF,28.0,10,NBA,GSW,4,4.0,103.0,5.9,15.0,0.395,0.7,3.8,0.182,5.2,11.2,0.469,2.4,4.2,0.583,1.0,2.1,3.1,1.0,0.0,1.0,2.4,3.8,15.0
