season,award,player,age,tm,first,pts_won,pts_max,share,winner,seas_id,player_id
2023,dpoy,Jaren Jackson Jr.,23,MEM,56.0,391.0,500.0,0.782,True,30733,4632
2023,dpoy,Brook Lopez,34,MIL,31.0,309.0,500.0,0.618,False,30508,3801
2023,dpoy,Evan Mobley,21,CLE,8.0,101.0,500.0,0.202,False,30640,4931
2023,dpoy,Draymond Green,32,GSW,3.0,34.0,500.0,0.068,False,30622,4085
2023,dpoy,Bam Adebayo,25,MIA,1.0,18.0,500.0,0.036,False,30489,4472
2023,dpoy,Giannis Antetokounmpo,28,MIL,0.0,14.0,500.0,0.028,False,30665,4164
2023,dpoy,OG Anunoby,25,TOR,0.0,8.0,500.0,0.016,False,30971,4555
2023,dpoy,Jrue Holiday,32,MIL,0.0,8.0,500.0,0.016,False,30796,3891
2023,dpoy,Nic Claxton,23,BRK,0.0,7.0,500.0,0.014,False,30958,4772
2023,dpoy,Joel Embiid,28,PHI,0.0,7.0,500.0,0.014,False,30764,4417
2023,dpoy,Alex Caruso,28,CHI,0.0,2.0,500.0,0.004,False,30471,4465
2023,dpoy,Jimmy Butler,33,MIA,0.0,1.0,500.0,0.002,False,30759,4023
2023,mip,Lauri Markkanen,25,UTA,69.0,430.0,500.0,0.86,True,30871,4535
2023,mip,Shai Gilgeous-Alexander,24,OKC,24.0,289.0,500.0,0.578,False,31046,4670
2023,mip,Jalen Brunson,26,NYK,4.0,91.0,500.0,0.182,False,30709,4630
2023,mip,Mikal Bridges,26,TOT,1.0,33.0,500.0,0.066,False,30927,4658
2023,mip,Nic Claxton,23,BRK,0.0,22.0,500.0,0.044,False,30958,4772
2023,mip,Tyrese Haliburton,22,IND,1.0,16.0,500.0,0.032,False,31104,4892
2023,mip,Trey Murphy III,22,NOP,1.0,8.0,500.0,0.016,False,31099,5016
2023,mip,De'Aaron Fox,25,SAC,0.0,3.0,500.0,0.006,False,30585,4489
2023,mip,Kevon Looney,26,GSW,0.0,3.0,500.0,0.006,False,30851,4342
2023,mip,Austin Reaves,24,LAL,0.0,2.0,500.0,0.004,False,30486,4906
2023,mip,Aaron Gordon,27,DEN,0.0,1.0,500.0,0.002,False,30462,4219
2023,mip,Jaren Jackson Jr.,23,MEM,0.0,1.0,500.0,0.002,False,30733,4632
2023,mip,Malik Monk,24,SAC,0.0,1.0,500.0,0.002,False,30895,4541
2023,nba mvp,Joel Embiid,28,PHI,73.0,915.0,1000.0,0.915,True,30764,4417
2023,nba mvp,Nikola Jokić,27,DEN,15.0,674.0,1000.0,0.674,False,30964,4352
2023,nba mvp,Giannis Antetokounmpo,28,MIL,12.0,606.0,1000.0,0.606,False,30665,4164
2023,nba mvp,Jayson Tatum,24,BOS,0.0,280.0,1000.0,0.28,False,30749,4518
2023,nba mvp,Shai Gilgeous-Alexander,24,OKC,0.0,46.0,1000.0,0.046,False,31046,4670
2023,nba mvp,Donovan Mitchell,26,CLE,0.0,30.0,1000.0,0.03,False,30615,4495
2023,nba mvp,Domantas Sabonis,26,SAC,0.0,27.0,1000.0,0.027,False,30613,4400
2023,nba mvp,Luka Dončić,23,DAL,0.0,10.0,1000.0,0.01,False,30880,4654
2023,nba mvp,Stephen Curry,34,GSW,0.0,5.0,1000.0,0.005,False,31056,3903
2023,nba mvp,Jimmy Butler,33,MIA,0.0,3.0,1000.0,0.003,False,30759,4023
2023,nba mvp,De'Aaron Fox,25,SAC,0.0,2.0,1000.0,0.002,False,30585,4489
2023,nba mvp,Jalen Brunson,26,NYK,0.0,1.0,1000.0,0.001,False,30709,4630
2023,nba mvp,Ja Morant,23,MEM,0.0,1.0,1000.0,0.001,False,30694,4723
2023,nba roy,Paolo Banchero,20,ORL,98.0,494.0,500.0,0.988,True,30981,5089
2023,nba roy,Jalen Williams,21,OKC,0.0,241.0,500.0,0.482,False,30718,5056
2023,nba roy,Walker Kessler,21,UTA,2.0,114.0,500.0,0.228,False,31117,5106
2023,nba roy,Bennedict Mathurin,20,IND,0.0,27.0,500.0,0.054,False,30491,5030
2023,nba roy,Keegan Murray,22,SAC,0.0,21.0,500.0,0.042,False,30819,5072
2023,nba roy,Jaden Ivey,20,DET,0.0,3.0,500.0,0.006,False,30700,5053
2023,smoy,Malcolm Brogdon,30,BOS,60.0,408.0,500.0,0.816,True,30890,4424
2023,smoy,Immanuel Quickley,23,NYK,34.0,326.0,500.0,0.652,False,30681,4837
2023,smoy,Bobby Portis,27,MIL,6.0,97.0,500.0,0.194,False,30496,4307
2023,smoy,Norman Powell,29,LAC,0.0,24.0,500.0,0.048,False,30968,4353
2023,smoy,Malik Monk,24,SAC,0.0,22.0,500.0,0.044,False,30895,4541
2023,smoy,Tyus Jones,26,MEM,0.0,10.0,500.0,0.02,False,31108,4370
2023,smoy,Austin Reaves,24,LAL,0.0,9.0,500.0,0.018,False,30486,4906
2023,smoy,Bennedict Mathurin,20,IND,0.0,2.0,500.0,0.004,False,30491,5030
2023,smoy,Russell Westbrook,34,TOT,0.0,1.0,500.0,0.002,False,31022,3849
2023,smoy,Christian Wood,27,DAL,0.0,1.0,500.0,0.002,False,30540,4313
2022,dpoy,Marcus Smart,27,BOS,37.0,257.0,500.0,0.514,True,30183,4275
2022,dpoy,Mikal Bridges,25,PHO,22.0,202.0,500.0,0.404,False,30205,4658
2022,dpoy,Rudy Gobert,29,UTA,12.0,136.0,500.0,0.272,False,30313,4199
2022,dpoy,Bam Adebayo,24,MIA,13.0,128.0,500.0,0.256,False,29689,4472
2022,dpoy,Jaren Jackson Jr.,22,MEM,10.0,99.0,500.0,0.198,False,29991,4632
2022,dpoy,Giannis Antetokounmpo,27,MIL,5.0,58.0,500.0,0.116,False,29918,4164
2022,dpoy,Robert Williams,24,BOS,1.0,8.0,500.0,0.016,False,30301,4667
2022,dpoy,Jrue Holiday,31,MIL,0.0,6.0,500.0,0.012,False,30061,3891
2022,dpoy,Al Horford,35,BOS,0.0,3.0,500.0,0.006,False,29657,3734
2022,dpoy,Draymond Green,31,GSW,0.0,2.0,500.0,0.004,False,29870,4085
2022,dpoy,Matisse Thybulle,24,PHI,0.0,1.0,500.0,0.002,False,30194,4760
2022,mip,Ja Morant,22,MEM,38.0,221.0,500.0,0.442,True,29959,4723
2022,mip,Dejounte Murray,25,SAS,20.0,183.0,500.0,0.366,False,29828,4394
2022,mip,Darius Garland,22,CLE,11.0,178.0,500.0,0.356,False,29804,4708
2022,mip,Jordan Poole,22,GSW,15.0,131.0,500.0,0.262,False,30044,4737
