seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31136,2024,5025,A.J. Green,,SG,24,2,NBA,MIL,2,21,,86.0,14.0,,,39.7,49.1,0,0,0,0,0,1.0,5,0,0
31137,2024,5027,AJ Griffin,,SF,20,2,NBA,ATL,4,34,,,100.0,,,-21.2,-32.0,1,1,1,0,0,0.0,5,0,0
31138,2024,4219,Aaron Gordon,,PF,28,10,NBA,DEN,4,122,,,,100.0,,16.2,5.2,1,1,2,2,4,1.0,28,2,3
31139,2024,4582,Aaron Holiday,,PG,27,6,NBA,HOU,1,5,100.0,,,,,-76.4,-63.5,0,0,0,0,0,0.0,0,0,1
31140,2024,4805,Aaron Nesmith,,SF,24,4,NBA,IND,3,80,,,6.0,95.0,,13.8,9.3,0,0,5,1,3,0.0,11,0,0
31141,2024,4900,Aaron Wiggins,,SG,25,3,NBA,OKC,3,32,,12.0,24.0,62.0,1.0,-8.7,-11.0,2,0,0,0,0,0.0,2,0,1
31142,2024,3734,Al Horford,,C,37,17,NBA,BOS,3,66,,,,8.0,92.0,5.7,-9.9,2,1,0,3,0,0.0,14,0,1
31143,2024,3982,Alec Burks,,SG,32,13,NBA,DET,4,102,,27.0,68.0,5.0,,21.7,37.2,0,0,2,0,5,5.0,22,0,0
31144,2024,4806,Aleksej Pokusevski,,PF,22,4,NBA,OKC,3,18,,,,31.0,69.0,-55.9,-61.6,1,1,1,0,1,0.0,0,0,0
31145,2024,4465,Alex Caruso,,PG,29,7,NBA,CHI,4,98,60.0,40.0,,,,1.1,17.6,3,1,5,0,0,6.0,28,0,0
31146,2024,4142,Alex Len,,C,30,11,NBA,SAC,1,2,,,,,100.0,-25.0,-28.7,0,0,0,0,0,0.0,0,0,0
31147,2024,4904,Alperen Şengün,,C,21,3,NBA,HOU,3,102,,,,,100.0,-8.2,22.9,4,0,7,3,6,3.0,47,1,2
31148,2024,5109,Amen Thompson,,SF,21,1,NBA,HOU,3,54,,3.0,84.0,13.0,,-27.8,-19.9,0,4,3,1,3,1.0,10,0,1
31149,2024,4690,Amir Coffey,,SF,26,5,NBA,LAC,3,20,,,97.0,3.0,,-8.7,-27.0,0,0,0,1,0,0.0,5,0,1
31150,2024,4064,Andre Drummond,,C,30,12,NBA,CHI,4,56,,,,,100.0,-3.0,6.2,1,0,1,2,2,0.0,12,0,1
31151,2024,5110,Andre Jackson Jr.,,SG,22,1,NBA,MIL,1,7,51.0,,49.0,,,38.5,42.9,1,0,1,0,0,0.0,3,0,0
