season,seas_id,player_id,player,birth_year,pos,age,lg,tm,experience
1947,1,1,Al Brightman,,F,23.0,BAA,BOS,1
1947,2,2,Al Lujack,,F,26.0,BAA,WSC,1
1947,3,3,Al Negratti,,F-C,25.0,BAA,WSC,1
1947,4,4,Angelo Musi,,G,28.0,BAA,PHW,1
1947,5,5,Ariel Maughan,1923.0,F,23.0,BAA,DTF,1
1947,6,6,Armand Cure,,F,27.0,BAA,PRO,1
1947,7,7,Art Hillhouse,,C,30.0,BAA,PHW,1
1947,8,8,Art Spector,1920.0,F,26.0,BAA,BOS,1
1947,9,9,Art Stolkey,,G,26.0,BAA,DTF,1
1947,10,10,Aubrey Davis,,G-F,25.0,BAA,STB,1
1947,11,11,Aud Brindley,,F,23.0,BAA,NYK,1
1947,12,12,Belus Smawley,1918.0,SG,28.0,BAA,STB,1
1947,13,13,Ben Goldfaden,,F,33.0,BAA,WSC,1
1947,14,14,Ben Scharnus,,F,29.0,BAA,CLR,1
1947,15,15,Bill Davis,,F,26.0,BAA,CHS,1
1947,16,16,Bob Cluggish,,C,29.0,BAA,NYK,1
1947,17,17,Bob Dille,,F,29.0,BAA,DTF,1
1947,18,18,Bob Doll,1919.0,F-C,27.0,BAA,STB,1
1947,19,19,Bob Duffy,1922.0,F,24.0,BAA,TOT,1
1947,20,19,Bob Duffy,1922.0,F,24.0,BAA,CHS,1
1947,21,19,Bob Duffy,1922.0,F,24.0,BAA,BOS,1
1947,22,20,Bob Faught,,F,25.0,BAA,CLR,1
1947,23,21,Bob Feerick,1920.0,F-G,27.0,BAA,WSC,1
1947,24,22,Bob Fitzgerald,,F-C,23.0,BAA,TOT,1
1947,25,22,Bob Fitzgerald,,F-C,23.0,BAA,TRH,1
1947,26,22,Bob Fitzgerald,,F-C,23.0,BAA,NYK,1
1947,27,23,Bob Gantt,,F-C,24.0,BAA,WSC,1
1947,28,24,Bob Mullens,,G,24.0,BAA,TOT,1
1947,29,24,Bob Mullens,,G,24.0,BAA,NYK,1
1947,30,24,Bob Mullens,,G,24.0,BAA,TRH,1
1947,31,25,Bob Rensberger,,F,25.0,BAA,CHS,1
1947,32,26,Bob Shea,,F,22.0,BAA,PRO,1
1947,33,27,Bones McKinney,1919.0,SF,28.0,BAA,WSC,1
1947,34,28,Buck Sydnor,,G,25.0,BAA,CHS,1
1947,35,29,Bud Palmer,,F-C,25.0,BAA,NYK,1
1947,36,30,Buddy O'Grady,,G,27.0,BAA,WSC,1
1947,37,31,Butch van Breda Kolff,1922.0,G-F,24.0,BAA,NYK,1
1947,38,32,Cecil Hankins,,G,25.0,BAA,STB,1
1947,39,33,Charlie Hoefer,,G,25.0,BAA,TOT,1
1947,40,33,Charlie Hoefer,,G,25.0,BAA,TRH,1
1947,41,33,Charlie Hoefer,,G,25.0,BAA,BOS,1
1947,42,34,Chet Aubuchon,,G,30.0,BAA,DTF,1
1947,43,35,Chet Carlisle,,F-C,30.0,BAA,CHS,1
1947,44,36,Chick Halbert,1919.0,C,27.0,BAA,CHS,1
1947,45,37,Chuck Connors,,F-C,25.0,BAA,BOS,1
1947,46,38,Chuck Gilmur,1922.0,F-C,24.0,BAA,CHS,1
1947,47,39,Connie Simmons,1925.0,C-F,21.0,BAA,BOS,1
1947,48,40,Coulby Gunther,,F,23.0,BAA,PIT,1
1947,49,41,Deb Smith,,F,27.0,BAA,STB,1
1947,50,42,Dick Fitzgerald,,F,26.0,BAA,TRH,1
1947,51,43,Dick Murphy,,G,25.0,BAA,TOT,1
1947,52,43,Dick Murphy,,G,25.0,BAA,NYK,1
1947,53,43,Dick Murphy,,G,25.0,BAA,BOS,1
1947,54,44,Dick Schulz,1917.0,F-G,30.0,BAA,TOT,1
1947,55,44,Dick Schulz,1917.0,F-G,30.0,BAA,CLR,1
1947,56,44,Dick Schulz,1917.0,F-G,30.0,BAA,TRH,1
1947,57,45,Dino Martin,,G,26.0,BAA,PRO,1
1947,58,46,Don Carlson,1919.0,G-F,27.0,BAA,CHS,1
1947,59,47,Don Eliason,,F,28.0,BAA,BOS,1
1947,60,48,Don Martin,,C-F,26.0,BAA,STB,1
1947,61,49,Don Putman,1922.0,G,24.0,BAA,STB,1
1947,62,50,Doyle Parrack,,F-G,25.0,BAA,CHS,1
1947,63,51,Earl Shannon,,G-F,25.0,BAA,PRO,1
1947,64,52,Ed Kasid,,G,23.0,BAA,TRH,1
1947,65,53,Ed Melvin,,G,30.0,BAA,PIT,1
1947,66,54,Ed Sadowski,1917.0,C,29.0,BAA,TOT,1
1947,67,54,Ed Sadowski,1917.0,C,29.0,BAA,TRH,1
1947,68,54,Ed Sadowski,1917.0,C,29.0,BAA,CLR,1
1947,69,55,Elmore Morgenthaler,,C,24.0,BAA,PRO,1
1947,70,56,Ernie Calverley,,G,23.0,BAA,PRO,1
1947,71,57,Frank Fucarino,,F,26.0,BAA,TRH,1
1947,72,58,Frank Mangiapane,,G,21.0,BAA,NYK,1
1947,73,59,Frankie Baumholtz,,G,28.0,BAA,CLR,1
1947,74,60,Fred Jacobs,,F,24.0,BAA,STB,1
1947,75,61,Fred Scolari,1922.0,PG,24.0,BAA,WSC,1
1947,76,62,Fred Sheffield,,F,23.0,BAA,PHW,1
1947,77,63,Frido Frey,,F,25.0,BAA,NYK,1
1947,78,64,Garland O'Shields,,G-F,25.0,BAA,CHS,1
1947,79,65,Gene Gallette,,F,27.0,BAA,WSC,1
1947,80,66,George Mearns,,F,24.0,BAA,PRO,1
1947,81,67,George Munroe,,G,25.0,BAA,STB,1
1947,82,68,George Nostrand,1924.0,C-F,23.0,BAA,TOT,1
1947,83,68,George Nostrand,1924.0,C-F,23.0,BAA,TRH,1
1947,84,68,George Nostrand,1924.0,C-F,23.0,BAA,CLR,1
1947,85,69,George Pastushok,,G,24.0,BAA,PRO,1
1947,86,70,George Pearcy,,G,27.0,BAA,DTF,1
1947,87,71,George Senesky,1922.0,PG,24.0,BAA,PHW,1
1947,88,72,Giff Roux,,F-C,23.0,BAA,STB,1
1947,89,73,Gino Sovran,,F-G,22.0,BAA,TRH,1
1947,90,74,Gorham Getchell,,C,26.0,BAA,PIT,1
1947,91,75,Grady Lewis,,F-C,29.0,BAA,DTF,1
1947,92,76,Hal Crisler,,F,23.0,BAA,BOS,1
1947,93,77,Hank Beenders,,C-F,30.0,BAA,PRO,1
1947,94,78,Hank Biasatti,,G,25.0,BAA,TRH,1
1947,95,79,Hank Lefkowitz,,F,23.0,BAA,CLR,1
1947,96,80,Hank Rosenstein,,F,26.0,BAA,TOT,1
1947,97,80,Hank Rosenstein,,F,26.0,BAA,NYK,1
1947,98,80,Hank Rosenstein,,F,26.0,BAA,PRO,1
1947,99,81,Harold Brown,,G,23.0,BAA,DTF,1
1947,100,82,Harold Johnson,,C,27.0,BAA,DTF,1
1947,101,83,Harold Kottman,,C,24.0,BAA,BOS,1
1947,102,84,Harry Miller,,C-F,23.0,BAA,TRH,1
1947,103,85,Harry Zeller,,C-F,27.0,BAA,PIT,1
1947,104,86,Henry Pearcy,,G,24.0,BAA,DTF,1
1947,105,87,Herschel Baltimore,,F,25.0,BAA,STB,1
1947,106,88,Howie Dallmar,,F,24.0,BAA,PHW,1
1947,107,89,Howie McCarty,,F-G,,BAA,DTF,1
1947,108,90,Irv Rothenberg,,C,25.0,BAA,CLR,1
1947,109,91,Irv Torgoff,,F,29.0,BAA,WSC,1
1947,110,92,Jack Garfinkel,,G,28.0,BAA,BOS,1
1947,111,93,Jake Weber,,C,28.0,BAA,TOT,1
1947,112,93,Jake Weber,,C,28.0,BAA,NYK,1
1947,113,93,Jake Weber,,C,28.0,BAA,PRO,1
1947,114,94,Jerry Fleishman,1922.0,SG,24.0,BAA,PHW,1
1947,115,95,Jerry Kelly,,F,28.0,BAA,BOS,1
1947,116,96,Jerry Rullo,1923.0,G,23.0,BAA,PHW,1
1947,117,97,Jim Seminoff,1922.0,G-F,24.0,BAA,CHS,1
1947,118,98,Joe Fabel,,F-G,29.0,BAA,PIT,1
1947,119,99,Joe Fulks,1921.0,PF,25.0,BAA,PHW,1
1947,120,100,John Abramovic,,F,27.0,BAA,PIT,1
1947,121,101,John Barr,,F,28.0,BAA,STB,1
1947,122,102,John Janisch,,F-G,26.0,BAA,DTF,1
1947,123,103,John Logan,1921.0,G,26.0,BAA,STB,1
1947,124,104,John Mahnken,1922.0,C,24.0,BAA,WSC,1
1947,125,105,John Mills,,C-F,27.0,BAA,PIT,1
1947,126,106,John Murphy,,F,22.0,BAA,TOT,1
1947,127,106,John Murphy,,F,22.0,BAA,NYK,1
1947,128,106,John Murphy,,F,22.0,BAA,PHW,1
1947,129,107,Johnny Norlander,1921.0,F,25.0,BAA,WSC,1
1947,130,108,Johnny Simmons,,G,22.0,BAA,BOS,1
1947,131,109,Ken Corley,,C,26.0,BAA,CLR,1
1947,132,110,Ken Keller,,G,24.0,BAA,TOT,1
1947,133,110,Ken Keller,,G,24.0,BAA,WSC,1
1947,134,110,Ken Keller,,G,24.0,BAA,PRO,1
1947,135,111,Kenny Sailors,1921.0,G,26.0,BAA,CLR,1
1947,136,112,Kleggie Hermsen,1923.0,C-F,23.0,BAA,TOT,1
1947,137,112,Kleggie Hermsen,1923.0,C-F,23.0,BAA,CLR,1
1947,138,112,Kleggie Hermsen,1923.0,C-F,23.0,BAA,TRH,1
1947,139,113,Lee Knorek,1921.0,C,25.0,BAA,NYK,1
1947,140,114,Leo Gottlieb,,G,26.0,BAA,NYK,1
1947,141,115,Leo Mogus,1921.0,F-C,25.0,BAA,TOT,1
1947,142,115,Leo Mogus,1921.0,F-C,25.0,BAA,CLR,1
1947,143,115,Leo Mogus,1921.0,F-C,25.0,BAA,TRH,1
1947,144,116,Leon Brown,,F,27.0,BAA,CLR,1
1947,145,117,Lou Spicer,,F,24.0,BAA,PRO,1
1947,146,118,Marty Passaglia,,G,27.0,BAA,WSC,1
1947,147,119,Matt Guokas,1915.0,F,31.0,BAA,PHW,1
1947,148,120,Max Zaslofsky,1925.0,SG,21.0,BAA,CHS,1
1947,149,121,Mel Hirsch,,G,25.0,BAA,BOS,1
1947,150,122,Mel Riebe,,G-F,30.0,BAA,CLR,1
1947,151,123,Michael Bytzura,,F,24.0,BAA,PIT,1
1947,152,124,Mickey Rottner,,G,27.0,BAA,CHS,1
1947,153,125,Mike McCarron,1922.0,G,24.0,BAA,TRH,1
1947,154,126,Milt Schoon,1922.0,C,24.0,BAA,DTF,1
1947,155,127,Moe Becker,,G-F,29.0,BAA,TOT,1
1947,156,127,Moe Becker,,G-F,29.0,BAA,PIT,1
1947,157,127,Moe Becker,,G-F,29.0,BAA,BOS,1
1947,158,127,Moe Becker,,G-F,29.0,BAA,DTF,1
1947,159,128,Nat Frankel,,F-G,33.0,BAA,PIT,1
1947,160,129,Nat Militzok,,F,23.0,BAA,TOT,1
1947,161,129,Nat Militzok,,F,23.0,BAA,NYK,1
1947,162,129,Nat Militzok,,F,23.0,BAA,TRH,1
1947,163,130,Ned Endress,,F-G,28.0,BAA,CLR,1
1947,164,131,Nick Shaback,,G,28.0,BAA,CLR,1
1947,165,132,Noble Jorgensen,1925.0,C,21.0,BAA,PIT,1
1947,166,133,Norm Baker,,G,23.0,BAA,CHS,1
1947,167,134,Ossie Schectman,,G,27.0,BAA,NYK,1
1947,168,135,Pete Lalich,,F,26.0,BAA,CLR,1
1947,169,136,Petey Rosenberg,,G,28.0,BAA,PHW,1
1947,170,137,Pop Goodwin,,F-C,26.0,BAA,PRO,1
1947,171,138,Press Maravich,,G,31.0,BAA,PIT,1
1947,172,139,Ralph Kaplowitz,,G-F,27.0,BAA,TOT,1
1947,173,139,Ralph Kaplowitz,,G-F,27.0,BAA,NYK,1
1947,174,139,Ralph Kaplowitz,,G-F,27.0,BAA,PHW,1
1947,175,140,Ralph Siewert,,C,23.0,BAA,TOT,1
1947,176,140,Ralph Siewert,,C,23.0,BAA,STB,1
1947,177,140,Ralph Siewert,,C,23.0,BAA,TRH,1
1947,178,141,Ray Wertis,,G,23.0,BAA,TOT,1
1947,179,141,Ray Wertis,,G,23.0,BAA,TRH,1
1947,180,141,Ray Wertis,,G,23.0,BAA,CLR,1
1947,181,142,Red Dehnert,,F,23.0,BAA,PRO,1
1947,182,143,Red Mihalik,,G,30.0,BAA,PIT,1
1947,183,144,Red Wallace,,G,28.0,BAA,TOT,1
1947,184,144,Red Wallace,,G,28.0,BAA,BOS,1
1947,185,144,Red Wallace,,G,28.0,BAA,TRH,1
1947,186,145,Roger Jorgensen,,C-F,26.0,BAA,PIT,1
1947,187,146,Roy Hurley,,F-G,24.0,BAA,TRH,1
1947,188,147,Sonny Hertzberg,1922.0,G,24.0,BAA,NYK,1
1947,189,148,Stan Miasek,1923.0,C-F,23.0,BAA,DTF,1
1947,190,149,Stan Noszka,,G,26.0,BAA,PIT,1
1947,191,150,Stan Stutz,,G-F,26.0,BAA,NYK,1
1947,192,151,Tom Callahan,,G,25.0,BAA,PRO,1
1947,193,152,Tom King,,G,22.0,BAA,DTF,1
1947,194,153,Tommy Byrnes,1923.0,F-G,23.0,BAA,NYK,1
1947,195,154,Tony Jaros,1920.0,F-G,26.0,BAA,CHS,1
1947,196,155,Tony Kappen,,G,27.0,BAA,TOT,1
1947,197,155,Tony Kappen,,G,27.0,BAA,PIT,1
1947,198,155,Tony Kappen,,G,27.0,BAA,BOS,1
1947,199,156,Virgil Vaughn,,F-C,28.0,BAA,BOS,1
1947,200,157,Walt Miller,,F,31.0,BAA,PIT,1
1947,201,158,Warren Fenley,,F,24.0,BAA,BOS,1
1947,202,159,Wilbert Kautz,,G-F,31.0,BAA,CHS,1
1947,203,160,Woody Grimshaw,,G,27.0,BAA,PRO,1
1947,204,161,Wyndol Gray,,G-F,24.0,BAA,BOS,1
1948,205,162,Andy Phillip,1922.0,G-F,25.0,BAA,CHS,1
1948,206,4,Angelo Musi,,G,29.0,BAA,PHW,2
1948,207,5,Ariel Maughan,1923.0,F,24.0,BAA,TOT,2
1948,208,5,Ariel Maughan,1923.0,F,24.0,BAA,PRO,2
1948,209,5,Ariel Maughan,1923.0,F,24.0,BAA,STB,2
1948,210,7,Art Hillhouse,,C,31.0,BAA,PHW,2
1948,211,8,Art Spector,1920.0,F,27.0,BAA,BOS,2
1948,212,12,Belus Smawley,1918.0,SG,29.0,BAA,STB,2
1948,213,163,Ben Schadler,,F,23.0,BAA,CHS,1
1948,214,164,Bill Downey,,C,24.0,BAA,PRO,1
1948,215,18,Bob Doll,1919.0,F-C,28.0,BAA,STB,2
1948,216,21,Bob Feerick,1920.0,F-G,28.0,BAA,WSC,2
1948,217,165,Bob Hubbard,,C-F,25.0,BAA,PRO,1
1948,218,166,Bob O'Brien,,F,21.0,BAA,PHW,1
1948,219,27,Bones McKinney,1919.0,SF,29.0,BAA,WSC,2
1948,220,29,Bud Palmer,,F-C,26.0,BAA,NYK,2
1948,221,167,Buddy Jeannette,1917.0,G,30.0,BAA,BLB,1
1948,222,30,Buddy O'Grady,,G,28.0,BAA,STB,2
1948,223,168,Bulbs Ehlers,,F-G,24.0,BAA,BOS,1
1948,224,31,Butch van Breda Kolff,1922.0,G-F,25.0,BAA,NYK,2
1948,225,169,Carl Braun,1927.0,G-F,20.0,BAA,NYK,1
1948,226,170,Carl Meinhold,,G-F,21.0,BAA,BLB,1
1948,227,32,Cecil Hankins,,G,26.0,BAA,BOS,2
1948,228,33,Charlie Hoefer,,G,26.0,BAA,BOS,2
1948,229,171,Chet McNabb,,F,27.0,BAA,BLB,1
1948,230,36,Chick Halbert,1919.0,C,28.0,BAA,TOT,2
1948,231,36,Chick Halbert,1919.0,C,28.0,BAA,CHS,2
1948,232,36,Chick Halbert,1919.0,C,28.0,BAA,PHW,2
1948,233,172,Chick Reiser,1914.0,G-F,33.0,BAA,BLB,1
1948,234,173,Chink Crossin,1923.0,G,24.0,BAA,PHW,1
1948,235,37,Chuck Connors,,F-C,26.0,BAA,BOS,2
1948,236,38,Chuck Gilmur,1922.0,F-C,25.0,BAA,CHS,2
1948,237,39,Connie Simmons,1925.0,C-F,22.0,BAA,TOT,2
1948,238,39,Connie Simmons,1925.0,C-F,22.0,BAA,BOS,2
1948,239,39,Connie Simmons,1925.0,C-F,22.0,BAA,BLB,2
1948,240,42,Dick Fitzgerald,,F,27.0,BAA,PRO,2
1948,241,174,Dick Holub,,C,26.0,BAA,NYK,1
1948,242,175,Dick O'Keefe,1923.0,G-F,24.0,BAA,WSC,1
1948,243,44,Dick Schulz,1917.0,F-G,31.0,BAA,BLB,2
1948,244,45,Dino Martin,,G,27.0,BAA,PRO,2
1948,245,48,Don Martin,,C-F,27.0,BAA,STB,2
1948,246,49,Don Putman,1922.0,G,25.0,BAA,STB,2
1948,247,51,Earl Shannon,,G-F,26.0,BAA,PRO,2
1948,248,54,Ed Sadowski,1917.0,C,30.0,BAA,BOS,2
1948,249,176,Elmer Gainer,1918.0,F-C,29.0,BAA,BLB,1
1948,250,56,Ernie Calverley,,G,24.0,BAA,PRO,2
1948,251,61,Fred Scolari,1922.0,PG,25.0,BAA,WSC,2
1948,252,177,Gene Rock,,G,26.0,BAA,CHS,1
