season,lg,team,playoffs,abbreviation
2023,NBA,Atlanta Hawks,False,ATL
2023,NBA,Boston Celtics,False,BOS
2023,NBA,Brooklyn Nets,False,BRK
2023,NBA,Charlotte Hornets,False,CHO
2023,NBA,Chicago Bulls,False,CHI
2023,NBA,Cleveland Cavaliers,False,CLE
2023,NBA,Dallas Mavericks,False,DAL
2023,NBA,Denver Nuggets,False,DEN
2023,NBA,Detroit Pistons,False,DET
2023,NBA,Golden State Warriors,False,GSW
2023,NBA,Houston Rockets,False,HOU
2023,NBA,Indiana Pacers,False,IND
2023,NBA,Los Angeles Clippers,False,LAC
2023,NBA,Los Angeles Lakers,False,LAL
2023,NBA,Memphis Grizzlies,False,MEM
2023,NBA,Miami Heat,False,MIA
2023,NBA,Milwaukee Bucks,False,MIL
2023,NBA,Minnesota Timberwolves,False,MIN
2023,NBA,New Orleans Pelicans,False,NOP
2023,NBA,New York Knicks,False,NYK
2023,NBA,Oklahoma City Thunder,False,OKC
2023,NBA,Orlando Magic,False,ORL
2023,NBA,Philadelphia 76ers,False,PHI
2023,NBA,Phoenix Suns,False,PHO
2023,NBA,Portland Trail Blazers,False,POR
2023,NBA,Sacramento Kings,False,SAC
2023,NBA,San Antonio Spurs,False,SAS
2023,NBA,Toronto Raptors,False,TOR
2023,NBA,Utah Jazz,False,UTA
2023,NBA,Washington Wizards,False,WAS
2022,NBA,Atlanta Hawks,True,ATL
2022,NBA,Boston Celtics,True,BOS
2022,NBA,Brooklyn Nets,True,BRK
2022,NBA,Charlotte Hornets,False,CHO
2022,NBA,Chicago Bulls,True,CHI
2022,NBA,Cleveland Cavaliers,False,CLE
2022,NBA,Dallas Mavericks,True,DAL
2022,NBA,Denver Nuggets,True,DEN
2022,NBA,Detroit Pistons,False,DET
2022,NBA,Golden State Warriors,True,GSW
2022,NBA,Houston Rockets,False,HOU
2022,NBA,Indiana Pacers,False,IND
2022,NBA,Los Angeles Clippers,False,LAC
2022,NBA,Los Angeles Lakers,False,LAL
2022,NBA,Memphis Grizzlies,True,MEM
2022,NBA,Miami Heat,True,MIA
2022,NBA,Milwaukee Bucks,True,MIL
2022,NBA,Minnesota Timberwolves,True,MIN
2022,NBA,New Orleans Pelicans,True,NOP
2022,NBA,New York Knicks,False,NYK
2022,NBA,Oklahoma City Thunder,False,OKC
2022,NBA,Orlando Magic,False,ORL
2022,NBA,Philadelphia 76ers,True,PHI
2022,NBA,Phoenix Suns,True,PHO
2022,NBA,Portland Trail Blazers,False,POR
2022,NBA,Sacramento Kings,False,SAC
2022,NBA,San Antonio Spurs,False,SAS
2022,NBA,Toronto Raptors,True,TOR
2022,NBA,Utah Jazz,True,UTA
2022,NBA,Washington Wizards,False,WAS
2021,NBA,Atlanta Hawks,True,ATL
2021,NBA,Boston Celtics,True,BOS
2021,NBA,Brooklyn Nets,True,BRK
2021,NBA,Charlotte Hornets,False,CHO
2021,NBA,Chicago Bulls,False,CHI
2021,NBA,Cleveland Cavaliers,False,CLE
2021,NBA,Dallas Mavericks,True,DAL
2021,NBA,Denver Nuggets,True,DEN
2021,NBA,Detroit Pistons,False,DET
2021,NBA,Golden State Warriors,False,GSW
2021,NBA,Houston Rockets,False,HOU
2021,NBA,Indiana Pacers,False,IND
2021,NBA,Los Angeles Clippers,True,LAC
2021,NBA,Los Angeles Lakers,True,LAL
2021,NBA,Memphis Grizzlies,True,MEM
2021,NBA,Miami Heat,True,MIA
2021,NBA,Milwaukee Bucks,True,MIL
2021,NBA,Minnesota Timberwolves,False,MIN
2021,NBA,New Orleans Pelicans,False,NOP
2021,NBA,New York Knicks,True,NYK
2021,NBA,Oklahoma City Thunder,False,OKC
2021,NBA,Orlando Magic,False,ORL
2021,NBA,Philadelphia 76ers,True,PHI
2021,NBA,Phoenix Suns,True,PHO
2021,NBA,Portland Trail Blazers,True,POR
2021,NBA,Sacramento Kings,False,SAC
2021,NBA,San Antonio Spurs,False,SAS
2021,NBA,Toronto Raptors,False,TOR
2021,NBA,Utah Jazz,True,UTA
2021,NBA,Washington Wizards,True,WAS
2020,NBA,Atlanta Hawks,False,ATL
2020,NBA,Boston Celtics,True,BOS
2020,NBA,Brooklyn Nets,True,BRK
2020,NBA,Charlotte Hornets,False,CHO
2020,NBA,Chicago Bulls,False,CHI
2020,NBA,Cleveland Cavaliers,False,CLE
2020,NBA,Dallas Mavericks,True,DAL
2020,NBA,Denver Nuggets,True,DEN
2020,NBA,Detroit Pistons,False,DET
2020,NBA,Golden State Warriors,False,GSW
2020,NBA,Houston Rockets,True,HOU
2020,NBA,Indiana Pacers,True,IND
2020,NBA,League Average,False,
2020,NBA,Los Angeles Clippers,True,LAC
2020,NBA,Los Angeles Lakers,True,LAL
2020,NBA,Memphis Grizzlies,False,MEM
2020,NBA,Miami Heat,True,MIA
2020,NBA,Milwaukee Bucks,True,MIL
2020,NBA,Minnesota Timberwolves,False,MIN
2020,NBA,New Orleans Pelicans,False,NOP
2020,NBA,New York Knicks,False,NYK
2020,NBA,Oklahoma City Thunder,True,OKC
2020,NBA,Orlando Magic,True,ORL
2020,NBA,Philadelphia 76ers,True,PHI
2020,NBA,Phoenix Suns,False,PHO
2020,NBA,Portland Trail Blazers,True,POR
2020,NBA,Sacramento Kings,False,SAC
2020,NBA,San Antonio Spurs,False,SAS
2020,NBA,Toronto Raptors,True,TOR
2020,NBA,Utah Jazz,True,UTA
2020,NBA,Washington Wizards,False,WAS
2019,NBA,Atlanta Hawks,False,ATL
2019,NBA,Boston Celtics,True,BOS
